iata,lat,lon,arrsum,arrcount,depsum,depcount,delaysum,delaycount,time
BWI,39.1754,-76.668297,0.0,0.0,0.0,0.0,0.0,0.0,100
PHL,39.87189865112305,-75.24109649658203,0.0,0.0,0.0,0.0,0.0,0.0,100
TPA,27.975500106811523,-82.533203125,0.0,0.0,0.0,0.0,0.0,0.0,100
SLC,40.78839874267578,-111.97799682617188,0.0,0.0,0.0,0.0,0.0,0.0,100
IAD,38.94449997,-77.45580292,0.0,0.0,0.0,0.0,0.0,0.0,100
MDW,41.785999,-87.752403,0.0,0.0,0.0,0.0,0.0,0.0,100
BNA,36.1245002746582,-86.6781997680664,0.0,0.0,0.0,0.0,0.0,0.0,100
PDX,45.58869934,-122.59799960000001,0.0,0.0,0.0,0.0,0.0,0.0,100
DAL,32.847099,-96.851799,0.0,0.0,0.0,0.0,0.0,0.0,100
AUS,30.2987223546,-97.6997852325,0.0,0.0,0.0,0.0,0.0,0.0,100
RDU,35.877601623535156,-78.7874984741211,0.0,0.0,0.0,0.0,0.0,0.0,100
STL,38.748697,-90.370003,0.0,0.0,0.0,0.0,0.0,0.0,100
MSY,29.99340057373047,-90.25800323486328,0.0,0.0,0.0,0.0,0.0,0.0,100
MCI,39.2976,-94.713898,0.0,0.0,0.0,0.0,0.0,0.0,100
HOU,29.64539909,-95.27890015,0.0,0.0,0.0,0.0,0.0,0.0,100
PIT,40.49150085,-80.23290253,0.0,0.0,0.0,0.0,0.0,0.0,100
SJC,37.362598,-121.929001,0.0,0.0,0.0,0.0,0.0,0.0,100
OAK,37.721298,-122.221001,0.0,0.0,0.0,0.0,0.0,0.0,100
SMF,38.69540023803711,-121.59100341796876,218.0,1.0,0.0,0.0,218.0,1.0,100
IND,39.7173,-86.294403,0.0,0.0,0.0,0.0,0.0,0.0,100
SNA,33.67570114,-117.86799620000001,0.0,0.0,0.0,0.0,0.0,0.0,100
CLE,41.411701202399996,-81.8498001099,0.0,0.0,0.0,0.0,0.0,0.0,100
CMH,39.998001,-82.891899,0.0,0.0,0.0,0.0,0.0,0.0,100
SAT,29.533700942993164,-98.46980285644531,0.0,0.0,0.0,0.0,0.0,0.0,100
CVG,39.0488014221,-84.6678009033,0.0,0.0,0.0,0.0,0.0,0.0,100
JAX,30.49410057067871,-81.68789672851562,0.0,0.0,0.0,0.0,0.0,0.0,100
