FL_DATE,ORIGIN,DEP_TIME,TAXI_OUT
2009,BWI,1730.0,12.8
2009,BWI,1800.0,11.2
2009,BWI,1830.0,10.444444444444445
2009,BWI,1900.0,10.666666666666666
2009,BWI,1930.0,12.5
2009,BWI,2000.0,12.0
2009,BWI,2030.0,8.75
2009,BWI,2100.0,9.666666666666666
2009,BWI,2130.0,10.0
2009,CLE,530.0,10.0
2009,CLE,600.0,10.0
2009,CLE,630.0,11.5
2009,CLE,700.0,9.333333333333334
2009,CLE,730.0,8.4
2009,CLE,800.0,11.666666666666666
2009,CLE,830.0,15.142857142857142
2009,CLE,900.0,14.2
2009,CLE,930.0,20.5
2009,CLE,1000.0,31.0
2009,CLE,1030.0,19.0
2009,CLE,1100.0,9.5
2009,CLE,1130.0,7.75
2009,CLE,1200.0,13.666666666666666
2009,CLE,1230.0,13.125
2009,CLE,1300.0,14.0
2009,CLE,1330.0,7.0
2009,CLE,1400.0,8.0
2009,CLE,1430.0,6.5
2009,CLE,1500.0,15.0
2009,CLE,1530.0,14.2
2009,CLE,1600.0,24.666666666666668
2009,CLE,1630.0,22.714285714285715
2009,CLE,1700.0,31.142857142857142
2009,CLE,1730.0,24.25
2009,CLE,1800.0,24.0
2009,CLE,1830.0,27.2
2009,CLE,1900.0,48.4
2009,CLE,1930.0,28.0
2009,CLE,2000.0,33.8
2009,CLE,2030.0,32.714285714285715
2009,CLE,2100.0,30.0
2009,CLE,2130.0,25.0
2009,CLT,530.0,23.0
2009,CLT,600.0,30.0
2009,CLT,630.0,37.0
2009,CLT,700.0,23.0
2009,CLT,730.0,16.857142857142858
2009,CLT,800.0,21.666666666666668
2009,CLT,830.0,10.5
2009,CLT,900.0,16.5
2009,CLT,930.0,19.6
2009,CLT,1000.0,21.333333333333332
2009,CLT,1030.0,10.5
2009,CLT,1100.0,14.933333333333334
2009,CLT,1130.0,19.0
2009,CLT,1200.0,13.0
2009,CLT,1230.0,14.166666666666666
2009,CLT,1300.0,22.692307692307693
2009,CLT,1330.0,24.5
2009,CLT,1400.0,11.166666666666666
2009,CLT,1430.0,18.7
2009,CLT,1500.0,41.333333333333336
2009,CLT,1530.0,76.0
2009,CLT,1600.0,16.9
2009,CLT,1630.0,20.22222222222222
2009,CLT,1700.0,15.5
2009,CLT,1730.0,15.090909090909092
2009,CLT,1800.0,20.61111111111111
2009,CLT,1830.0,11.0
2009,CLT,1900.0,16.6
2009,CLT,1930.0,18.375
2009,CLT,2000.0,20.6875
2009,CLT,2030.0,21.25
2009,CLT,2100.0,11.666666666666666
2009,CLT,2130.0,13.0
2009,CLT,2200.0,15.75
2009,CLT,2230.0,18.4
2009,CVG,530.0,21.0
2009,CVG,600.0,14.5
2009,CVG,630.0,11.0
2009,CVG,700.0,16.0
2009,CVG,800.0,14.666666666666666
2009,CVG,830.0,13.0
2009,CVG,900.0,15.875
2009,CVG,930.0,11.5
2009,CVG,1000.0,17.0
2009,CVG,1030.0,12.0
2009,CVG,1100.0,15.444444444444445
2009,CVG,1130.0,54.0
2009,CVG,1200.0,19.666666666666668
2009,CVG,1230.0,13.5
2009,CVG,1400.0,14.3
2009,CVG,1430.0,16.6
2009,CVG,1500.0,29.666666666666668
2009,CVG,1530.0,29.0
2009,CVG,1600.0,28.0
2009,CVG,1630.0,38.0
2009,CVG,1700.0,51.833333333333336
2009,CVG,1730.0,32.0
2009,CVG,1800.0,29.333333333333332
2009,CVG,1830.0,36.5
2009,CVG,1900.0,32.0
2009,CVG,1930.0,29.0
2009,CVG,2000.0,65.125
2009,CVG,2030.0,67.66666666666667
2009,CVG,2100.0,86.0
2009,CVG,2200.0,29.5
2009,DAL,530.0,51.0
2009,DAL,630.0,15.0
2009,DAL,700.0,12.5
2009,DAL,730.0,10.0
2009,DAL,800.0,11.5
2009,DAL,830.0,7.666666666666667
2009,DAL,900.0,11.5
2009,DAL,930.0,7.0
2009,DAL,1000.0,10.0
2009,DAL,1030.0,6.0
2009,DAL,1100.0,8.8
2009,DAL,1130.0,9.0
2009,DAL,1200.0,7.666666666666667
2009,DAL,1230.0,8.666666666666666
2009,DAL,1300.0,7.0
2009,DAL,1330.0,7.0
2009,DAL,1400.0,9.0
2009,DAL,1430.0,8.0
2009,DAL,1500.0,10.166666666666666
2009,DAL,1530.0,8.0
2009,DAL,1600.0,8.75
2009,DAL,1630.0,8.333333333333334
2009,DAL,1700.0,23.0
2009,DAL,1730.0,8.0
2009,DAL,1800.0,9.0
2009,DAL,1830.0,7.333333333333333
2009,DAL,1900.0,8.5
2009,DAL,1930.0,7.0
2009,DAL,2000.0,8.0
2009,DAL,2030.0,11.0
2009,DAL,2100.0,10.0
2009,DCA,530.0,13.75
2009,DCA,600.0,17.333333333333332
2009,DCA,630.0,36.25
2009,DCA,700.0,18.5
2009,DCA,730.0,23.333333333333332
2009,DCA,800.0,19.833333333333332
2009,DCA,830.0,23.333333333333332
2009,DCA,900.0,17.666666666666668
2009,DCA,930.0,18.8
2009,DCA,1000.0,17.88888888888889
2009,DCA,1030.0,36.5
2009,DCA,1100.0,12.5
2009,DCA,1130.0,25.0
2009,DCA,1200.0,19.857142857142858
2009,DCA,1230.0,12.5
2009,DCA,1300.0,14.8
2009,DCA,1330.0,30.0
2009,DCA,1400.0,21.0
2009,DCA,1430.0,13.166666666666666
2009,DCA,1500.0,19.77777777777778
2009,DCA,1530.0,10.0
2009,DCA,1600.0,15.75
2009,DCA,1630.0,9.333333333333334
2009,DCA,1700.0,22.285714285714285
2009,DCA,1730.0,12.0
2009,DCA,1800.0,19.8
2009,DCA,1830.0,15.75
2009,DCA,1900.0,12.625
2009,DCA,1930.0,18.833333333333332
2009,DCA,2000.0,17.666666666666668
2009,DCA,2030.0,11.0
2009,DCA,2130.0,11.0
2009,DCA,2200.0,7.0
2009,DEN,30.0,30.0
2009,DEN,100.0,19.0
2009,DEN,230.0,16.0
2009,DEN,530.0,14.0
2009,DEN,600.0,26.0
2009,DEN,630.0,24.333333333333332
2009,DEN,700.0,28.4
2009,DEN,730.0,24.09090909090909
2009,DEN,800.0,15.785714285714286
2009,DEN,830.0,16.266666666666666
2009,DEN,900.0,12.0
2009,DEN,930.0,11.333333333333334
2009,DEN,1000.0,13.92
2009,DEN,1030.0,15.45
2009,DEN,1100.0,12.8
2009,DEN,1130.0,13.222222222222221
2009,DEN,1200.0,16.416666666666668
2009,DEN,1230.0,12.181818181818182
2009,DEN,1300.0,13.363636363636363
2009,DEN,1330.0,11.555555555555555
2009,DEN,1400.0,12.5
2009,DEN,1430.0,12.818181818181818
2009,DEN,1500.0,11.588235294117647
2009,DEN,1530.0,13.0
2009,DEN,1600.0,10.714285714285714
2009,DEN,1630.0,13.2
2009,DEN,1700.0,15.1875
2009,DEN,1730.0,13.866666666666667
2009,DEN,1800.0,15.357142857142858
2009,DEN,1830.0,15.9
2009,DEN,1900.0,15.333333333333334
2009,DEN,1930.0,13.090909090909092
2009,DEN,2000.0,11.75
2009,DEN,2030.0,11.642857142857142
2009,DEN,2100.0,12.857142857142858
2009,DEN,2130.0,13.0
2009,DEN,2200.0,10.0
2009,DEN,2230.0,13.0
2009,DEN,2300.0,15.0
2009,DEN,2330.0,12.0
2009,DFW,0.0,15.0
2009,DFW,500.0,10.0
2009,DFW,530.0,18.5
2009,DFW,600.0,29.2
2009,DFW,630.0,14.083333333333334
2009,DFW,700.0,15.222222222222221
2009,DFW,730.0,14.666666666666666
2009,DFW,800.0,15.23076923076923
2009,DFW,830.0,12.833333333333334
2009,DFW,900.0,15.0
2009,DFW,930.0,13.538461538461538
2009,DFW,1000.0,15.333333333333334
2009,DFW,1030.0,13.071428571428571
2009,DFW,1100.0,16.153846153846153
2009,DFW,1130.0,13.545454545454545
2009,DFW,1200.0,14.11111111111111
2009,DFW,1230.0,12.61111111111111
2009,DFW,1300.0,13.875
